address,suggested_country,force_suggested_country,country,town
"NATIONAL SOCIETY
NEAR THE AIRPORT
PARIS (FR)",FR,true,FR,PARIS
"NATIONAL SOCIETY
NEAR THE AIRPORT
 BERLIN (DE)",DE,true,DE,BERLIN
"NATIONAL SOCIETY
NEAR THE AIRPORT
BERLIN (DE)",DE,true,DE,BERLIN
"NATIONAL SOCIETY
NEAR THE AIRPORT
34789 PARIS (FR)",FR,true,FR,PARIS
"NATIONAL SOCIETY
NEAR THE AIRPORT
 48907 PARIS (FR)",FR,true,FR,PARIS
"NATIONAL SOCIETY
NEAR THE AIRPORT
6543 BERLIN (DE)",DE,true,DE,BERLIN
"NATIONAL SOCIETY
NEAR THE AIRPORT
 5890 BERLIN (DE)",DE,true,DE,BERLIN
"MARK ANTONY
CLEOPATRA ROAD
MINISTRY OF FINANCE
ALEXANDRIA EGYPT",EG,true,EG,ALEXANDRIA
"MARK ANTONY
CLEOPATRA ROAD
MINISTRY OF ECONOMICS
ALEXANDRIA EGYPT",EG,true,EG,ALEXANDRIA
"MARK ANTONY
CLEOPATRA ROAD
DEFENDER OF ROME
ALEXANDRIA EGYPT",EG,true,EG,ALEXANDRIA
"MARK ANTONY
MINISTRY OF FINANCE
CLEOPATRA ROAD
ALEXANDRIA EGYPT",EG,true,EG,ALEXANDRIA
"SOBIESKI
LONDON UL. 3M 110
87-306 TORUN POLAND",PL,true,PL,TORUN
"JOSEPH PONIATOWSKI
CICHA ULICA 132 M 16
62-200 GNIEZNO",NO COUNTRY,true,NO COUNTRY,GNIEZNO
"JOSEPH PONIATOWSKI
FR UL. 132 M 16
62-200 GNIEZNO",NO COUNTRY,true,NO COUNTRY,GNIEZNO
"""JOSEPH PONIATOWSKI
ID UL. 132 M 16
62-200 GNIEZNO""",NO COUNTRY,true,NO COUNTRY,GNIEZNO
"SOBIESKI
ULICE LIPOWA 3M 110
87-306 TORUN",NO COUNTRY,true,NO COUNTRY,TORUN
"JOSEPH PONIATOWSKI
CICHA ULICA 132 M 16
62-200 GNIEZNO POLAND",PL,true,PL,GNIEZNO
"SOBIESKI
ULICE LIPOWA 3M 110
87-306 TORUN POLAND",PL,true,PL,TORUN
"SOBIESKI
UL. LIPOWA 3M 110
87-306 TORUN POLAND",PL,true,PL,TORUN
"SOBIESKI
LIPOWA UL. 3M 110
87-306 TORUN POLAND",PL,true,PL,TORUN
"MR DANIEL IZUCHWU NWYOBE
8 UNIMPORTANT STREET
ILASSAN LEKKI, LAGOS 105102
NIGERIA",NG,true,NG,LAGOS
"MR DANIEL IZUCHWU NWYOBE
8 UNIMPORTANT STREET
ILASSAN LEKKI, LAGOS 105102 NIGERIA",NG,true,NG,LAGOS
"MR DANIEL IZUCHWU NWYOBE
8 UNIMPORTANT STREET
ILASSAN LEKKI, LAGOS 105102/NIGERIA",NG,true,NG,LAGOS
"CN79FUOO0141458085101473225
ELIZA MIELCARZ
CHICAGO ILLINOIS USA",US,true,US,CHICAGO
"CN79FUOO0141458085101473225
ELIZA MIELCARZ
CHICAGO USA",US,true,US,CHICAGO
"US79FUOO0141458085101473225
CHICAGO UNITED STATES",US,true,US,CHICAGO
"US79FUOO0141458085101473225
CHICAGO ILLINOIS USA",US,true,US,CHICAGO
"US79FUOO014145101425
DENVER UNITED STATES",US,true,US,DENVER
"BE79FUOO014145101425
BRUSSELS BE",BE,true,BE,BRUSSELS
"BE79FUOO014145101425
BRUSSELS BELGIUM",BE,true,BE,BRUSSELS
"JOHN WILLIAMS
BRUSSELS BELGIUM",BE,true,BE,BRUSSELS
"BE898634896009890907
JOHN WILLIAMS
BRUSSELS BELGIUM",BE,true,BE,BRUSSELS
"FRANKENSTEIN SARL
BRUSSELS BELGIUM",BE,true,BE,BRUSSELS
"John Smith
1234 Elm St, Apt 5B
Los Angeles, CA 90001
USA",US,true,US,LOS ANGELES
"Sarah Johnson
221B Baker Street
London
W1 6XE
United Kingdom",GB,true,GB,LONDON
"Taro Yamada
Shibuya 1-2-3
Shibuya-ku, Tokyo
150-0002
Japan",JP,true,JP,TOKYO
"Carlos Silva
Rua das Flores, 123
Centro
Sao Paulo, SP
Brazil",BR,true,BR,SAO PAULO
"Carlos Silva
Rua das Flores, 123
Centro
Sao Paulo, SP",NO COUNTRY,true,NO COUNTRY,SAO PAULO
"Rajesh Kumar
Flat 301, 4th Floor, Lotus Tower
MG Road, Bangalore
Karnataka - 560001
India",IN,true,IN,BANGALORE
"Rajesh Kumar
Flat 301, 4th Floor, Lotus Tower
MG Road, Bangalore
Karnataka - 560001",IN,true,IN,BANGALORE
"Alejandra González
Avenida Reforma 210
Colonia Juárez
Mexico City, CDMX
Mexico",MX,true,MX,MEXICO CITY
"Li Wei
No. 88, Xinhua Road
Chaoyang District
Beijing, 100000
China",CN,true,CN,CHAOYANG
"Ahmed Ali
123 El-Mahdi Street
Zamalek, Cairo
Egypt",EG,true,EG,CAIRO
"NAPOLEON BONAPARTE
5 ELM STREET 4556
MARSEILLE FRANCE",FR,true,FR,MARSEILLE
"SARAH JOHNSON
221B BAKER STREET LONDON NW1
ENGLAND",NO COUNTRY,true,NO COUNTRY,LONDON
"TARO YAMADA
SHIBUYA 1-2-3 TOKYO
1500002 JAPAN
",JP,true,JP,TOKYO
"TARO YAMADA
SHIBUYA 1-2-3 TOKYO
1500002 JAPAN",JP,true,JP,TOKYO
"MICHAEL BROWN
456 MAPLE AVE SUITE 3
VANCOUVER BC V5T1K4
CANADA",CA,true,CA,VANCOUVER
"EMILY WHITE
25 BEACH RD
BONDI BEACH NSW 2026
AUSTRALIA",AU,true,AU,BONDI BEACH
"DIEGO MARADONA
CALLE FIGUEROA ALCORTA 1536
BUENOS AIRES
ARGENTINA",AR,true,AR,BUENOS AIRES
"IRINA PETROVNA
LENINSKIY PROSPEKT 15
MOSCOW 119991
RUSSIA",RU,true,RU,MOSCOW
"LI WEI
NO 88 XINHUA ROAD
CHAOYANG DISTRICT BEIJING 100000
CHINA",CN,true,CN,CHAOYANG
"IBAN: GB29 NWBK 6016 1331 9268 19
SARAH JOHNSON
221B BAKER STREET
LONDON NW1 ENGLAND
ZIP CODE - ????",NO COUNTRY,true,NO COUNTRY,LONDON
"TARO YAMADA
SHIBUYA 1-2-3
TOKYO 1500002
JAPAN
NO STREET? IDK",JP,true,JP,TOKYO
"TARO YAMADA
SHIBUYA 1-2-3
TOKYO 1500002
JAPAN
NO STREET? ID",JP,true,JP,TOKYO
"BR6988998384689
CARLOS SILVA
CENTRO SAO PAULO SP
RUA DAS FLORES 123 (or somewhere?)
BRAZIL
WTH???",BR,true,BR,SAO PAULO
"MICHAEL BROWN
456 MAPLE AVE SUITE 3
VANCOUVER BC V5T1K4
CANADA (somewhere downtown??)",CA,true,CA,VANCOUVER
"ZANELE NKOSI
15 MAIN STREET near the mall
JOHANNESBURG 2000
SOUTH AFRICA stock exchange",ZA,true,ZA,JOHANNESBURG
"DIEGO MARADONA
CALLE FIGUEROA ALCORTA 1536
BUENOS AIRES
ARGENTINA
Halfway down the street?",AR,true,AR,BUENOS AIRES
"SE24 1234 5678 9101 1121 3141 5161
ANNA LARSSON
STOCKHOLM
VÄSTERLÅNGGATAN 21
SWEDEN (near Gamla Stan)",SE,true,SE,STOCKHOLM
"JIN AH LEE
SEOUL 04534
GANGNAM 123-45
SOUTH KOREA (by the subway station)",KR,true,KR,SEOUL
"JIN AH LEE
SEOUL 04534
GANGNAM 123-45
SOUTH KOREA",KR,true,KR,SEOUL
"FR897099706489638
GABRIELO DE NAPOLI CALLE 43
LAS HERAS 1784 RIO NEGRO
VIEDMA ARGENTINA",AR,true,AR,VIEDMA
"GABRIELO DE NAPOLI
LAS HERAS 1784 VIEDMA
RIO NEGRO ARGENTINA",AR,true,AR,VIEDMA
"GABRIELO DE NAPOLI
LAS HERAS VIEDMA
RIO NEGRO ARGENTINA",AR,true,AR,VIEDMA
"BARTOLOME MITRE 816
B1858BJQ GUERNICA
ARGENTINA",AR,true,AR,GUERNICA
"CIDUAD DE LAS ARTES
AV DEL PROFESSOR PINERO, 7
46013 VALENCIA
SPAIN",ES,true,ES,VALENCIA
"CIDUAD DE LAS ARTES
AV DEL PROFESSOR PINERO, 7
46013 VALENCIA
REPUBLIC OF SPAIN",ES,true,ES,VALENCIA
"CIDUAD DE LAS ARTES
AV. DEL PROFESSOR PINERO, 7
46013 VALENCIA
SPAIN",ES,true,ES,VALENCIA
"CIDUAD DE LAS ARTES
AVENIDA DEL PROFESSOR PINERO, 7
46013 VALENCIA
SPAIN",ES,true,ES,VALENCIA
"CIDUAD DE LAS ARTES
AVENIDA DEL PROFESSOR PINERO, 7
VALENCIA
SPAIN",ES,true,ES,VALENCIA
"EDGARD IMPORT EXPORT
PO BOX 108879
890990 PHILADELPHIA PA
UNITED STATES
FROM ALBANY INCORPORATED",US,true,US,PHILADELPHIA
"EDGARD IMPORT EXPORT
PO BOX 108879
890990 PHILADELPHIA PA
UNITED STATES",US,true,US,PHILADELPHIA
"EDGARD IMPORT EXPORT
PO BOX 108879
890990 PHILADELPHIA PA
UNITED STATES
NO.97979",US,true,US,PHILADELPHIA
"EDGARD IMPORT EXPORT
PO BOX 108879
890990 PHILADELPHIA PA
UNITED STATES
NOTHING INTERESTING",US,true,US,PHILADELPHIA
"EDGARD IMPORT EXPORT
PO BOX 108879
890990 PHILADELPHIA PENNSYLVANIA
UNITED STATES
NOTHING INTERESTING",US,true,US,PHILADELPHIA
"EDGARD IMPORT EXPORT
PO BOX 108879
890990 PHILADEPHIA PENNSYLVANIA
UNITED STATES OF AMERICA",US,true,US,PHILADELPHIA
"ZHANG JUN
JIANGUOMENWAY DAJIE 1 HAO
10004 BEIJING
CHINA",CN,true,CN,BEIJING
"ZHANG JUN
JIANGUOMENWAY DAJIE 1 HAO
GUANGZHOU GUANGDONG
CHINA",CN,true,CN,GUANGZHOU
"ZHANG JUN
JIANGUOMENWAY DAJIE 1 HAO
GUANGZHOU
GUANGDONG",CN,true,CN,GUANGZHOU
"SUN FEI
SHUANGHE DAJIE 5 HAO, KAIFAQU
SHUNYI QU
101320 BEIJING
CHINA",CN,true,CN,BEIJING
"/89007
DONALD DUCK
APPARTMENT 14 100 GOLDENPARIS DRIVE
PHILADELPHIA PENNSYLVANIA U.S.A.",US,true,US,PHILADELPHIA
"/89007
DONALD DUCK
100 GOLDENPARIS DRIVE, APPARTMENT 14
PHILADELPHIA PENNSYLVANIA U.S.A.",US,true,US,PHILADELPHIA
"/89007
DONALD DUCK
100 GOLDENPARIS DRIVE, APPARTMENT 14
 PHILADELPHIA PENNSYLVANIA U.S.A.",US,true,US,PHILADELPHIA
"/89007
DONALD DUCK
100 GOLDENPARIS DRIVE, APPARTMENT 14
 PHILADELPHIA PENNSYLVANIA USA.",US,true,US,PHILADELPHIA
"/89007
DONALD DUCK
100 GOLDENPARIS DRIVE, APPARTMENT 14
PHILADELPHIA USA",US,true,US,PHILADELPHIA
"IBAN:US4410012345789054329876321
EMBASSY OF GERMANY
6th Floor, Office 22
777 NO98877 STREET
Chicago, IL 60601, USA",US,true,US,CHICAGO
"/89007
DONALD DUCK
100 GOLDENPARIS STREET APPARTMENT 14
DONALDVILLE UNITED STATES OF AMERICA",US,true,US,DONALDVILLE
"/89007
DONALD DUCK
100 GOLDENPARIS ST. APPARTMENT 14
DONALDVILLE UNITED STATES OF AMERICA",US,true,US,DONALDVILLE
"/89007
DONALD DUCK
100 GOLDENPARIS DRIVE APPARTMENT 14
DONALDVILLE UNITED STATES OF AMERICA",US,true,US,DONALDVILLE
"/89007
DONALD DUCK
100 GOLDENPARIS ST.
DONALDVILLE UNITED STATES OF AMERICA",US,true,US,DONALDVILLE
"/89007
DONALD DUCK
100 GOLDENPARIS ST.
 W.13349 DONALDVILLE UNITED STATES OF AMERICA",US,true,US,DONALDVILLE
"/89007
DONALD DUCK
100 GOLDENPARIS STREET
DONALDVILLE UNITED STATES OF AMERICA",US,true,US,DONALDVILLE
"GB29HSBC123456789012345678
Suite 207, Green Park
9 OXFORD ROAD
Oxford, OX1 2JD, UK",GB,true,GB,OXFORD
"999 VIA DEGLI STADI
No. 98877, Milano, Italy
Office 302",IT,true,IT,MILANO
"MARIO GRAZIANO
999 VIA DEGLI STADI
Milano, Italy
No.98877",IT,true,IT,MILANO
"FR8098639678678633
CHARLES-HENRI BOYER 13
 VILLENEUVE RUE D'ARLES'
13845 MARTIGUES FRANCE",FR,true,FR,MARTIGUES
"FR8098639678678633
CHARLES-HENRI BOYER 13
 VILLENEUVE RUE D'ARLES
13845 MARTIGUES FRANCE",FR,true,FR,MARTIGUES
"FR8098639678678633
CHARLES-HENRI BOYER 13
 VILLENEUVE RUE DE ARLES
13845 MARTIGUES FRANCE",FR,true,FR,MARTIGUES
"FR8098639678678633
CHARLES-HENRI BOYER 13
 RUE DE PARIS MARTIGUES FRANCE",FR,true,FR,MARTIGUES
"FR8098639678678633
ALURYS INFORMATIQUE ACCOUNT 13780
RUE CHADEPAU
FRANCE MARSEILLE 13001",FR,true,FR,MARSEILLE
"PAVEL ZELESNSKY
 14 KOALITSKYA UB.
W.400. KYIV UKRAINE",UA,true,UA,KYIV
"PAVEL ZELESNSKY
 14 KOALITSKYA UB
W.400. KYIV UKRAINE",UA,true,UA,KYIV
"PAVEL ZELESNSKY
 14 KOALITSKYA ST.
W.400. KYIV UKRAINE",UA,true,UA,KYIV
"PAVEL ZELESNSKY
 14 KOALITSKYA STREET.
W.400. KYIV UKRAINE",UA,true,UA,KYIV
"PAVEL ZELESNSKY
 14 KOALITSKYA STREET.
W.400. KYIV UKRAINE
NB.86768934",UA,true,UA,KYIV
"PAVEL ZELESNSKY
 14 KOALITSKYA STREET.
W.400. KYIV UKRAINE
NO:86768934",UA,true,UA,KYIV
"HARVEY COVES
HOUSE 2 14 BAKER ST.
0544 PHILADELPHIA PA US",US,true,US,PHILADELPHIA
"HARVEY COVES
14 BAKER ST.
0544 PHILADELPHIA PA US",US,true,US,PHILADELPHIA
"HARVEY COVES
14 BAKER STREET.
 PHILADELPHIA USA.",US,true,US,PHILADELPHIA
"HARVEY COVES
HOUSE 2. 14 BAKER UL.
 PHILADELPHIA PA US",US,true,US,PHILADELPHIA
"HARVEY COVES
LONDON ECONOMIC INDUSTRIAL AREA
 UNITED KINGDOM",GB,true,GB,LONDON
"LONDON ECONOMIC INDUSTRIAL AREA
UNITED KINGDOM",GB,true,GB,LONDON
"HARVEY COVES
SEATTLE PORT AREA
ID:15486854",US,true,US,SEATTLE
"HARVEY COVES
PORT AREA OF LONDON
 UNITED KINGDOM",GB,true,GB,LONDON
"926743772541
GONZALEZ, VILLAMIZARA ND VARGAS",NO COUNTRY,true,NO COUNTRY,NO TOWN
"926743772541
GONZALEZ GARCIA",NO COUNTRY,true,NO COUNTRY,NO TOWN
"AE22UAHJ6155430979597224
LMHNDS NZR 'SHJ`
MUSSAFAH COMPLEX, EDIF. 02123 381 W
TM KINSHASA RD CONGO",CD,true,CD,KINSHASA
"AE22UAHJ6155430979597224
MISTER ABDULLAH KAMANDARAN
MUSSAFAH COMPLEX, EDIF. 02123 381 W
TM KINSHASA DR CONGO",CD,true,CD,KINSHASA
"AE22UAHJ6155430979597224
MISTER ABDULLAH KAMANDARAN
MUSSAFAH COMPLEX, EDIF. 02123 381 W
BRAZZAVILLE",NO COUNTRY,true,NO COUNTRY,BRAZZAVILLE
"466858039
TRAUDL JOPICH
HAUPTSTRASSE,HAUPTSTRASSE
WEIL,GERMANY",DE,true,DE,WEIL
"MY90YVIL74598260732487
PAULINE-MARGARET LACROIX EVRARD
0471KENGE
KINSASA,BUEA,CD
11097",CD,true,CD,KINSASA
"943994333
ETIENNE REMY-FERNANDES
48
RUE LAMARCK
PANAME FR",FR,true,FR,PANAME
"861939342491XDJ
GERALDINE SUTTON
MR HUGH SPENCER HILL
DODOMA DODOMA TZ
TZ",TZ,true,TZ,DODOMA
"/1234
BAZIN CHEMIN DE BOYER
74465 MONASTIR TN
INCOME ACCOUNT GROSS FR5444107968265673320951292",TN,true,TN,MONASTIR
"/1234
KONINKLIJKE 0 LANASTEEG 3892 LF NL 5G",NL,true,NL,NO TOWN
"/1234
MCCARTHY-HINES VILLANUEVA VIADUCT 62526 CARLSONSIDE AS ON INCOME ALL PAYMENT",NO COUNTRY,true,NO COUNTRY,NO TOWN
"/1234
MCCARTHY-HINES VILLANUEVA VIADUCT
62526 CARLSONSIDE AS
ON INCOME ALL PAYMENT",NO COUNTRY,true,NO COUNTRY,NO TOWN
"/1234
ECKHARDT 165 LYNNBAAN 4456 SG ROTTERDAM  NL
FUNDS PLAY MINUTE",NL,true,NL,ROTTERDAM
"/1234
ECKHARDT 165 LYNNBAAN
4456 SG ROTTERDAM  NL",NL,true,NL,ROTTERDAM
GB79869837022374789 EMPEROR SIGISMUND OF HUNGARY,NO COUNTRY,true,NO COUNTRY,NO TOWN
FR67800873483899097 NAPOLEON BONAPARTE,NO COUNTRY,true,NO COUNTRY,NO TOWN
"/9999
NAPOLEON BONAPARTE 13 LONDON STREET
FRENCH REPUBLIC PARIS",FR,true,FR,PARIS
"/9999
NAPOLEON BONAPARTE
13 LONDON STREET
FRENCH REPUBLIC PARIS",FR,true,FR,PARIS
"/9999
NAPOLEON BONAPARTE
13 LONDON STREET
PARIS FRANCE",FR,true,FR,PARIS
"NE76893848965665674
BANK OF NETHERLANDS 13 UNKNOWN STREET
FRENCH REPUBLIC PARIS",FR,true,FR,PARIS
"FR76893848965665674
NAPOLEON BONAPARTE 13 UNKNOWN STREET
56642 FRENCH REPUBLIC PARIS",FR,true,FR,PARIS
"FR76893848965665674
NAPOLEON BONAPARTE 13 UNKNOWN STREET
56642  PARIS FRENCH REPUBLIC",FR,true,FR,PARIS
"FR76893848965665674
NAPOLEON BONAPARTE 13 UNKNOWN STREET
56642 PARIS FRANCE",FR,true,FR,PARIS
"/4444
NAPOLEON BONAPARTE 14 REBECCA STREET SARL ACCOUNT
12345 FRENCH REPUBLIC PARIS",FR,true,FR,PARIS
"4444
NAPOLEON BONAPARTE SARL ACCOUNT
12345 FRENCH REPUBLIC PARIS",FR,true,FR,PARIS
"/3445
JESUS CHRIST SON OF MARY
14 JAPAN STREET ACCOUNTING EXPERT
ALBANY UNITED STATES USA",US,true,US,ALBANY
"/9999
PARIS HILTON 677866 LONDON UNITED KINGDOM",GB,true,GB,LONDON
"/1234
NICHOLS-ROSALES HARVEY COVES 0544 PAGO PAGO AMERICAN SAMOA",AS,true,AS,PAGO PAGO
"/1234
PAREDES-ARMENDARIZ ANTONIO
A BUSINESSMAN DOING BUSINESS",NO COUNTRY,true,NO COUNTRY,NO TOWN
"/1234
PAREDES-ARMENDARIZ CARRERA 33 5-3 271141 PIEDECUESTA COLOMBIA",CO,true,CO,PIEDECUESTA
"/1234
TERESA MAY CHIEF ACCOUNTANT BANK NOWHERE IN PARTICULAR",NO COUNTRY,true,NO COUNTRY,NO TOWN
"/888
1/CASSANDRA
2/6 CHEMIN DE BOYER 8965
3/TN/CARTHAGE",TN,true,TN,CARTHAGE
"/666
1/CASSANDRA PROPHET
2/6 TEMPLE HALL 8965
3/GR/DELPHI",GR,true,GR,DELPHI
"/1183
RODRIGUEZ RUE DE LAUNAY PLACE 43
659099 LELYSTAD NETHERLANDS",NL,true,NL,LELYSTAD
"/1234
NAPOLEON BONAPARTE 1444 RUE DE REBECCA 855441 WATERLOO BELGIUM FR46555 ACCOUNT ID BANK OF THE FRENCH REPUBLIC",BE,true,BE,WATERLOO
"/1554
NAPOLEON BONAPARTE 14 BAKER STREET
85541 WATERLOO BELGIUM
ACCOUNT NUMBER FR4655589621",BE,true,BE,WATERLOO
"/1554
NAPOLEON BONAPARTE 14 AMERICAN SAMOA
855441 WATERLOO BELGIUM
ACCOUNT NUMBER FR4655589621",BE,true,BE,WATERLOO
"BANK OF NETHERLANDS
14 BAKER STREET
13340 PILSEN CZECH REPUBLIC",CZ,true,CZ,PILSEN
"849672474479FYW
DR DAMIEN FRASER
ELEANOR PATEL SUTTON
CANBERRA  CANBERRA  AU
AU",AU,true,AU,CANBERRA
"507143146619XMT
BEREND VAN KUSEN
VALENTIJN TINS-GROEN
ROTT%ERDAM ROTTERDAM HOLLAND
NL",NL,true,NL,ROTTERDAM
"74331540885033
GOMES LEMONNIER S.A.S.
HIC MINUS

95360  MONTMAGNY

FRANCE",FR,true,FR,MONTMAGNY
"956994782445
MARCEL-STEPHANE ADAM PERROT BOURDON

PLAIRE REPONSE 40 RUE DES SAULES,

FR",FR,true,FR,NO TOWN
"71977000159
DANIEL MASON HUNT
0374 OXON RUN PLACE,20746-8001/USA",US,true,US,NO TOWN
"0600786319
MS MARILYN FOSTER
3 LONGFELLOW DRIVE,CM13 2RX/GB",GB,true,GB,NO TOWN
"2562
META BAHR WOCHE WHEREIN FEDERAL REP
UBLIC OF GERMANY., LTD.
.",DE,true,DE,NO TOWN
"4582
JOHANNES VAN DEN BRINK PRINS
JOUW. SCHOUDER GROEP GMGGNLQ9KPP-DH
MNNL1V ZIJ-
4141CB LEERDAM HZMDNL7Z",NO COUNTRY,true,NO COUNTRY,LEERDAM
"NAZ GSM
SAN. SEHREBAN ALEMDAR 6820
ALTAY MAHALLESI 07086 TURKIYE",TR,true,TR,ALTAY
"TR081616190179985556390821
DOLOREDR. SAVKI YURDANUR HANCER
6680 ISTANBUL
TR
TURKEY",TR,true,TR,ISTANBUL
"DE89176132466071324501
DIPL.-ING. ARIBERT KRUSCHWITZ B.SC.
 DICH
ANFANGEN 5800
14669 KETZIN/HAVEL",DE,true,DE,KETZIN
"14368134
CHARLES-JEROME PASQUIER
SPA:179462",NO COUNTRY,true,NO COUNTRY,NO TOWN
"EG58XZRG356697837609
L`SLY, BNW S`D BN LYTH BN BKR AND B
NW LM
23 NAKHIL STREET
GIZA",NO COUNTRY,true,NO COUNTRY,GIZA
"EG58XZRG356697837609
NAPOLEON BONAPARTE
13 BAKER STREET
WATERLOO UNITED KINGDOM KW67991
ACCOUNTING BANK ACCOUNT",GB,true,GB,WATERLOO
"FR76893848965665674
NAPOLEON BONAPARTE 13 UNKNOWN STREET
56642 FRENCH REPUBLIC PARIS",FR,true,FR,PARIS
"FR76893848965665674
NAPOLEON BONAPARTE 13 RUE INCONNUE
56642 FRENCH REPUBLIC PARIS",FR,true,FR,PARIS
"71977000159
DANIEL MASON HUNT
0374 OXON RUN STREET,20746-8001/USA",US,true,US,NO TOWN
"71977000159
DANIEL MASON HUNT
0374 OXON RUN PLACE,20746-8001/USA",US,true,US,NO TOWN
